0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"(157, 3)","(164, 12)","(55, 3)","(59, 5)","(190, 1)","(38, 11)","(43, 12)","(221, 1)","(184, 0)","(124, 12)","(57, 1)","(156, 14)","(46, 0)","(159, 3)","(32, 6)","(8, 1)","(240, 12)","(204, 9)","(139, 13)","(238, 8)","(97, 7)","(93, 3)","(22, 0)","(118, 14)","(11, 14)","(40, 14)","(26, 2)","(178, 5)","(28, 9)","(66, 5)","(18, 14)","(161, 1)","(16, 3)","(168, 4)","(103, 1)","(210, 0)","(127, 9)","(50, 6)","(198, 7)","(37, 3)","(223, 10)","(29, 0)","(63, 8)","(45, 7)","(148, 13)","(235, 8)","(181, 9)","(75, 8)","(183, 14)","(68, 8)","(149, 4)","(117, 12)","(97, 9)","(139, 0)","(181, 13)","(36, 9)","(121, 3)","(174, 13)","(113, 2)","(88, 9)","(108, 6)","(30, 1)","(56, 14)","(141, 12)","(236, 13)","(85, 5)","(57, 3)","(221, 6)","(20, 2)","(46, 1)","(193, 2)","(196, 4)","(125, 9)","(49, 4)","(235, 2)","(66, 7)","(126, 1)","(48, 10)","(155, 0)","(101, 13)","(229, 10)","(20, 11)","(102, 5)","(81, 13)","(28, 5)","(209, 3)","(158, 12)","(64, 6)","(62, 12)","(179, 12)","(130, 13)","(166, 3)","(127, 10)","(69, 13)","(84, 5)","(109, 3)","(118, 1)","(220, 11)","(116, 0)","(1, 5)"
"(157, 12)","(164, 5)","(55, 11)","(59, 10)","(190, 12)","(38, 12)","(43, 4)","(221, 6)","(184, 4)","(124, 9)","(57, 2)","(156, 13)","(46, 12)","(159, 8)","(32, 12)","(8, 2)","(240, 2)","(204, 13)","(139, 6)","(238, 14)","(97, 5)","(93, 6)","(22, 0)","(118, 8)","(11, 0)","(40, 1)","(26, 13)","(178, 14)","(28, 1)","(66, 4)","(18, 5)","(161, 10)","(16, 7)","(168, 2)","(103, 0)","(210, 13)","(127, 4)","(50, 1)","(198, 2)","(37, 14)","(223, 9)","(29, 9)","(63, 6)","(45, 9)","(148, 10)","(235, 2)","(181, 4)","(75, 2)","(183, 7)","(68, 5)","(149, 12)","(117, 3)","(97, 0)","(139, 3)","(181, 1)","(36, 4)","(121, 1)","(174, 0)","(113, 4)","(88, 12)","(108, 1)","(30, 0)","(56, 0)","(141, 10)","(236, 7)","(85, 1)","(57, 8)","(221, 13)","(20, 8)","(46, 3)","(193, 3)","(196, 2)","(125, 3)","(49, 13)","(235, 6)","(66, 5)","(126, 8)","(48, 8)","(155, 7)","(101, 14)","(229, 12)","(20, 5)","(102, 13)","(81, 8)","(28, 12)","(209, 13)","(158, 3)","(64, 5)","(62, 1)","(179, 1)","(130, 11)","(166, 0)","(127, 8)","(69, 0)","(84, 10)","(109, 11)","(118, 8)","(220, 0)","(116, 12)","(1, 7)"
"(157, 0)","(164, 9)","(55, 0)","(59, 11)","(190, 2)","(38, 1)","(43, 10)","(221, 4)","(184, 7)","(124, 4)","(57, 12)","(156, 7)","(46, 13)","(159, 11)","(32, 0)","(8, 3)","(240, 6)","(204, 7)","(139, 8)","(238, 3)","(97, 1)","(93, 5)","(22, 10)","(118, 2)","(11, 11)","(40, 4)","(26, 13)","(178, 11)","(28, 5)","(66, 0)","(18, 13)","(161, 7)","(16, 0)","(168, 5)","(103, 5)","(210, 10)","(127, 14)","(50, 2)","(198, 12)","(37, 6)","(223, 9)","(29, 14)","(63, 9)","(45, 10)","(148, 3)","(235, 7)","(181, 2)","(75, 6)","(183, 5)","(68, 1)","(149, 8)","(117, 0)","(97, 5)","(139, 1)","(181, 5)","(36, 6)","(121, 4)","(174, 14)","(113, 8)","(88, 4)","(108, 8)","(30, 9)","(56, 11)","(141, 11)","(236, 9)","(85, 0)","(57, 14)","(221, 14)","(20, 12)","(46, 4)","(193, 12)","(196, 6)","(125, 8)","(49, 5)","(235, 12)","(66, 12)","(126, 11)","(48, 1)","(155, 1)","(101, 3)","(229, 1)","(20, 10)","(102, 11)","(81, 5)","(28, 13)","(209, 0)","(158, 2)","(64, 4)","(62, 9)","(179, 10)","(130, 3)","(166, 13)","(127, 2)","(69, 2)","(84, 3)","(109, 9)","(118, 2)","(220, 10)","(116, 2)","(1, 2)"
"(157, 2)","(164, 8)","(55, 12)","(59, 0)","(190, 7)","(38, 8)","(43, 8)","(221, 9)","(184, 8)","(124, 8)","(57, 4)","(156, 10)","(46, 3)","(159, 10)","(32, 7)","(8, 7)","(240, 7)","(204, 0)","(139, 4)","(238, 7)","(97, 9)","(93, 2)","(22, 6)","(118, 5)","(11, 2)","(40, 11)","(26, 10)","(178, 4)","(28, 13)","(66, 6)","(18, 8)","(161, 5)","(16, 12)","(168, 12)","(103, 8)","(210, 4)","(127, 1)","(50, 9)","(198, 13)","(37, 13)","(223, 12)","(29, 6)","(63, 4)","(45, 1)","(148, 9)","(235, 1)","(181, 0)","(75, 5)","(183, 2)","(68, 3)","(149, 10)","(117, 4)","(97, 3)","(139, 6)","(181, 2)","(36, 3)","(121, 8)","(174, 11)","(113, 0)","(88, 2)","(108, 12)","(30, 11)","(56, 2)","(141, 9)","(236, 14)","(85, 12)","(57, 9)","(221, 12)","(20, 6)","(46, 9)","(193, 9)","(196, 13)","(125, 1)","(49, 6)","(235, 1)","(66, 8)","(126, 9)","(48, 14)","(155, 11)","(101, 7)","(229, 5)","(20, 9)","(102, 3)","(81, 11)","(28, 3)","(209, 1)","(158, 9)","(64, 10)","(62, 10)","(179, 7)","(130, 14)","(166, 11)","(127, 9)","(69, 11)","(84, 6)","(109, 14)","(118, 9)","(220, 12)","(116, 11)","(1, 13)"
"(157, 4)","(164, 0)","(55, 8)","(59, 13)","(190, 13)","(38, 3)","(43, 3)","(221, 8)","(184, 10)","(124, 14)","(57, 8)","(156, 1)","(46, 1)","(159, 12)","(32, 9)","(8, 6)","(240, 8)","(204, 2)","(139, 7)","(238, 1)","(97, 0)","(93, 10)","(22, 3)","(118, 6)","(11, 10)","(40, 13)","(26, 4)","(178, 8)","(28, 2)","(66, 14)","(18, 10)","(161, 0)","(16, 10)","(168, 7)","(103, 4)","(210, 2)","(127, 1)","(50, 8)","(198, 4)","(37, 0)","(223, 5)","(29, 10)","(63, 12)","(45, 2)","(148, 11)","(235, 12)","(181, 1)","(75, 0)","(183, 13)","(68, 0)","(149, 7)","(117, 1)","(97, 7)","(139, 12)","(181, 2)","(36, 13)","(121, 14)","(174, 4)","(113, 9)","(88, 8)","(108, 9)","(30, 13)","(56, 4)","(141, 7)","(236, 1)","(85, 14)","(57, 5)","(221, 3)","(20, 1)","(46, 0)","(193, 14)","(196, 8)","(125, 12)","(49, 14)","(235, 6)","(66, 6)","(126, 5)","(48, 2)","(155, 12)","(101, 5)","(229, 11)","(20, 0)","(102, 10)","(81, 2)","(28, 6)","(209, 6)","(158, 11)","(64, 2)","(62, 3)","(179, 8)","(130, 1)","(166, 2)","(127, 14)","(69, 6)","(84, 8)","(109, 4)","(118, 7)","(220, 9)","(116, 14)","(1, 10)"
"(157, 6)","(164, 6)","(55, 4)","(59, 12)","(190, 9)","(38, 7)","(43, 11)","(221, 13)","(184, 1)","(124, 7)","(57, 5)","(156, 4)","(46, 4)","(159, 14)","(32, 4)","(8, 4)","(240, 9)","(204, 11)","(139, 5)","(238, 4)","(97, 2)","(93, 0)","(22, 7)","(118, 1)","(11, 13)","(40, 0)","(26, 6)","(178, 7)","(28, 11)","(66, 8)","(18, 6)","(161, 14)","(16, 13)","(168, 0)","(103, 2)","(210, 5)","(127, 0)","(50, 3)","(198, 6)","(37, 9)","(223, 3)","(29, 1)","(63, 1)","(45, 3)","(148, 6)","(235, 0)","(181, 12)","(75, 3)","(183, 1)","(68, 12)","(149, 2)","(117, 8)","(97, 8)","(139, 0)","(181, 8)","(36, 0)","(121, 10)","(174, 7)","(113, 13)","(88, 14)","(108, 10)","(30, 12)","(56, 6)","(141, 1)","(236, 3)","(85, 13)","(57, 10)","(221, 0)","(20, 7)","(46, 13)","(193, 5)","(196, 11)","(125, 4)","(49, 0)","(235, 9)","(66, 0)","(126, 14)","(48, 12)","(155, 3)","(101, 1)","(229, 0)","(20, 12)","(102, 9)","(81, 14)","(28, 14)","(209, 7)","(158, 13)","(64, 0)","(62, 7)","(179, 11)","(130, 10)","(166, 1)","(127, 12)","(69, 9)","(84, 9)","(109, 5)","(118, 6)","(220, 2)","(116, 3)","(1, 8)"
"(157, 0)","(164, 4)","(55, 2)","(59, 8)","(190, 6)","(38, 14)","(43, 9)","(221, 5)","(184, 6)","(124, 1)","(57, 7)","(156, 3)","(46, 2)","(159, 7)","(32, 4)","(8, 10)","(240, 10)","(204, 14)","(139, 11)","(238, 0)","(97, 3)","(93, 7)","(22, 5)","(118, 0)","(11, 1)","(40, 3)","(26, 0)","(178, 2)","(28, 6)","(66, 12)","(18, 1)","(161, 6)","(16, 11)","(168, 10)","(103, 12)","(210, 7)","(127, 11)","(50, 4)","(198, 13)","(37, 10)","(223, 1)","(29, 2)","(63, 14)","(45, 13)","(148, 4)","(235, 13)","(181, 7)","(75, 13)","(183, 4)","(68, 10)","(149, 1)","(117, 14)","(97, 10)","(139, 13)","(181, 0)","(36, 7)","(121, 5)","(174, 5)","(113, 5)","(88, 12)","(108, 5)","(30, 6)","(56, 7)","(141, 14)","(236, 0)","(85, 6)","(57, 0)","(221, 8)","(20, 14)","(46, 11)","(193, 7)","(196, 0)","(125, 14)","(49, 7)","(235, 9)","(66, 10)","(126, 12)","(48, 6)","(155, 9)","(101, 6)","(229, 3)","(20, 7)","(102, 14)","(81, 8)","(28, 4)","(209, 11)","(158, 14)","(64, 13)","(62, 8)","(179, 2)","(130, 2)","(166, 8)","(127, 1)","(69, 8)","(84, 7)","(109, 2)","(118, 0)","(220, 1)","(116, 7)","(1, 3)"
"(157, 3)","(164, 7)","(55, 7)","(59, 4)","(190, 3)","(38, 6)","(43, 2)","(221, 14)","(184, 2)","(124, 6)","(57, 11)","(156, 2)","(46, 10)","(159, 9)","(32, 11)","(8, 11)","(240, 11)","(204, 5)","(139, 0)","(238, 5)","(97, 11)","(93, 1)","(22, 13)","(118, 7)","(11, 6)","(40, 5)","(26, 11)","(178, 3)","(28, 4)","(66, 1)","(18, 2)","(161, 4)","(16, 2)","(168, 6)","(103, 14)","(210, 1)","(127, 10)","(50, 12)","(198, 5)","(37, 2)","(223, 6)","(29, 14)","(63, 5)","(45, 0)","(148, 2)","(235, 3)","(181, 13)","(75, 12)","(183, 9)","(68, 2)","(149, 14)","(117, 1)","(97, 0)","(139, 3)","(181, 6)","(36, 2)","(121, 6)","(174, 6)","(113, 6)","(88, 7)","(108, 0)","(30, 4)","(56, 12)","(141, 6)","(236, 5)","(85, 4)","(57, 11)","(221, 12)","(20, 10)","(46, 14)","(193, 6)","(196, 9)","(125, 13)","(49, 3)","(235, 7)","(66, 0)","(126, 10)","(48, 7)","(155, 2)","(101, 12)","(229, 7)","(20, 1)","(102, 7)","(81, 4)","(28, 7)","(209, 6)","(158, 5)","(64, 7)","(62, 14)","(179, 5)","(130, 0)","(166, 7)","(127, 7)","(69, 4)","(84, 12)","(109, 1)","(118, 5)","(220, 5)","(116, 4)","(1, 12)"
"(157, 1)","(164, 13)","(55, 9)","(59, 7)","(190, 0)","(38, 5)","(43, 0)","(221, 1)","(184, 11)","(124, 14)","(57, 10)","(156, 0)","(46, 8)","(159, 1)","(32, 8)","(8, 14)","(240, 5)","(204, 10)","(139, 10)","(238, 9)","(97, 6)","(93, 11)","(22, 11)","(118, 3)","(11, 7)","(40, 6)","(26, 3)","(178, 1)","(28, 12)","(66, 10)","(18, 9)","(161, 9)","(16, 4)","(168, 13)","(103, 13)","(210, 11)","(127, 5)","(50, 14)","(198, 14)","(37, 12)","(223, 4)","(29, 3)","(63, 10)","(45, 0)","(148, 12)","(235, 10)","(181, 8)","(75, 10)","(183, 8)","(68, 6)","(149, 6)","(117, 2)","(97, 2)","(139, 14)","(181, 11)","(36, 8)","(121, 13)","(174, 3)","(113, 3)","(88, 5)","(108, 4)","(30, 8)","(56, 9)","(141, 5)","(236, 11)","(85, 2)","(57, 2)","(221, 11)","(20, 3)","(46, 10)","(193, 0)","(196, 12)","(125, 2)","(49, 10)","(235, 5)","(66, 0)","(126, 3)","(48, 0)","(155, 8)","(101, 9)","(229, 9)","(20, 8)","(102, 2)","(81, 6)","(28, 10)","(209, 10)","(158, 7)","(64, 8)","(62, 11)","(179, 14)","(130, 5)","(166, 12)","(127, 10)","(69, 14)","(84, 13)","(109, 7)","(118, 5)","(220, 3)","(116, 1)","(1, 14)"
"(157, 5)","(164, 3)","(55, 6)","(59, 1)","(190, 14)","(38, 9)","(43, 5)","(221, 2)","(184, 9)","(124, 10)","(57, 14)","(156, 5)","(46, 6)","(159, 6)","(32, 14)","(8, 9)","(240, 0)","(204, 6)","(139, 3)","(238, 11)","(97, 14)","(93, 13)","(22, 12)","(118, 10)","(11, 9)","(40, 9)","(26, 12)","(178, 0)","(28, 7)","(66, 13)","(18, 7)","(161, 3)","(16, 5)","(168, 9)","(103, 7)","(210, 12)","(127, 12)","(50, 8)","(198, 0)","(37, 11)","(223, 8)","(29, 5)","(63, 11)","(45, 14)","(148, 0)","(235, 14)","(181, 14)","(75, 9)","(183, 12)","(68, 7)","(149, 9)","(117, 6)","(97, 4)","(139, 6)","(181, 14)","(36, 10)","(121, 0)","(174, 2)","(113, 14)","(88, 6)","(108, 3)","(30, 3)","(56, 1)","(141, 13)","(236, 10)","(85, 10)","(57, 3)","(221, 8)","(20, 5)","(46, 6)","(193, 11)","(196, 2)","(125, 0)","(49, 11)","(235, 8)","(66, 6)","(126, 4)","(48, 9)","(155, 6)","(101, 10)","(229, 8)","(20, 13)","(102, 4)","(81, 3)","(28, 9)","(209, 12)","(158, 6)","(64, 14)","(62, 5)","(179, 9)","(130, 4)","(166, 9)","(127, 11)","(69, 12)","(84, 11)","(109, 6)","(118, 14)","(220, 14)","(116, 8)","(1, 0)"
